"id","restaurant_id","method"
"499","126","Master"
"500","126","Debet"
"501","127","Tunai"
"502","127","Visa"
"503","127","Master"
"504","127","Debet"
"505","128","Tunai"
"506","128","Visa"
"507","128","Master"
"508","128","Debet"
"509","129","Tunai"
"510","129","Visa"
"511","129","Master"
"512","129","Debet"
"513","130","Tunai"
"514","130","Visa"
"515","130","Master"
"516","130","Debet"
"517","131","Tunai"
"518","131","Visa"
"519","131","Master"
"520","131","Debet"
"521","132","Tunai"
"522","132","Visa"
"523","132","Master"
"524","132","Debet"
"525","133","Tunai"
"526","133","Visa"
"527","133","Master"
"528","133","Debet"
"529","135","Tunai"
"530","135","Visa"
"531","135","Master"
"532","135","Debet"
"533","136","Tunai"
"534","136","Debet"
"535","136","Go-pay"
"536","136","Ovo"
"537","136","Dana"
"538","137","Tunai"
"539","137","Visa"
"540","137","Master"
"541","137","Debet"
"542","138","Tunai"
"543","138","Visa"
"544","138","Master"
"545","138","Debet"
"546","139","Tunai"
"547","139","Visa"
"548","139","Master"
"549","139","Debet"
"550","140","Tunai"
"551","140","Visa"
"552","140","Master"
"553","140","Debet"
"554","141","Tunai"
"555","141","Visa"
"556","141","Master"
"557","141","Debet"
"558","142","Tunai"
"559","142","Visa"
"560","142","Master"
"561","142","Debet"
"562","142","Go-pay"
"563","142","Ovo"
"564","142","Dana"
"565","142","QRIS"
"566","143","Tunai"
"567","143","Visa"
"568","143","Master"
"569","143","Debet"
"570","144","Tunai"
"571","144","Visa"
"572","144","Master"
"573","144","Debet"
"574","145","Tunai"
"575","145","Visa"
"576","145","Master"
"577","145","Debet"
"578","145","Go-pay"
"579","145","Ovo"
"580","145","Dana"
"581","146","Tunai"
"582","146","Visa"
"583","146","Master"
"584","146","Debet"
"585","147","Tunai"
"586","147","Visa"
"587","147","Master"
"588","147","Debet"
"589","147","Go-pay"
"590","147","Ovo"
"591","147","Dana"
"592","148","Tunai"
"593","148","Visa"
"594","148","Master"
"595","148","Debet"
"596","149","Tunai"
"597","149","Visa"
"598","149","Master"
"599","149","Debet"
"600","149","Go-pay"
"601","149","Ovo"
"602","149","Dana"
"603","150","Tunai"
"604","150","Visa"
"605","150","Master"
"606","150","Debet"
"607","151","Tunai"
"608","152","Tunai"
"609","152","Visa"
"610","152","Master"
"611","152","Debet"
"612","153","Tunai"
"613","153","Visa"
"614","153","Master"
"615","153","Debet"
"616","153","Go-pay"
"617","153","Ovo"
"618","153","Dana"
"619","154","Tunai"
"620","154","Visa"
"621","154","Master"
"622","154","Debet"
"623","155","Tunai"
"624","155","Visa"
"625","155","Master"
"626","155","Debet"
"627","156","Tunai"
"628","156","Visa"
"629","156","Master"
"630","156","Debet"
"631","157","Tunai"
"632","157","Visa"
"633","157","Master"
"634","157","Debet"
"635","157","Go-pay"
"636","158","Hanya Non-Tunai: Visa"
"637","158","Master"
"638","158","Debet"
"639","158","Ovo"
"640","159","Tunai"
"641","159","Visa"
"642","159","Master"
"643","159","Debet"
"644","159","Go-pay"
"645","159","Ovo"
"646","159","Dana"
"647","160","Tunai"
"648","160","Visa"
"649","160","Master"
"650","160","Debet"
"651","160","Go-pay"
"652","160","Ovo"
"653","160","Dana"
"654","162","Tunai"
"655","162","Visa"
"656","162","Master"
"657","162","Debet"
"658","163","Tunai"
"659","163","Visa"
"660","163","Master"
"661","163","Debet"
"662","165","
                        Dukuh Atas - Keluar E "
"663","166","Tunai"
"664","166","Visa"
"665","166","Master"
"666","166","Debet"
"667","166","Go-pay"
"668","166","Ovo"
"669","166","Dana"
"670","168","Tunai"
"671","168","Visa"
"672","168","Master"
"673","168","Debet"
"674","169","Tunai"
"675","169","Visa"
"676","169","Master"
"677","169","Debet"
"678","169","Go-pay"
"679","169","Ovo"
"680","169","Dana"
"681","171","Tunai"
"682","171","Visa"
"683","171","Master"
"684","171","Debet"
"685","171","Ovo"
"686","172","Tunai"
"687","172","Debet"
"688","173","Tunai"
"689","173","Visa"
"690","173","Master"
"691","173","Debet"
"692","173","Go-pay"
"693","173","Ovo"
"694","173","Dana"
"695","174","Tunai"
"696","174","Debet"
"697","175","Tunai"
"698","175","Dana"
"699","176","Tunai"
"700","176","Visa"
"701","176","Master"
"702","176","Debet"
"703","176","Ovo"
"704","177","Tunai"
"705","177","Visa"
"706","177","Master"
"707","177","Debet"
"708","178","Tunai"
"709","178","Visa"
"710","178","Master"
"711","178","Debet"
"712","179","Tunai"
"713","179","Visa"
"714","179","Master"
"715","179","Debet"
"716","179","Go-pay"
"717","179","Ovo"
"718","179","Dana"
"719","180","Tunai"
"720","180","Visa"
"721","180","Master"
"722","180","Debet"
"723","180","Go-pay"
"724","180","Ovo"
"725","181","Tunai"
"726","181","Visa"
"727","181","Master"
"728","181","Debet"
"729","181","Go-pay"
"730","181","Ovo"
"731","181","Dana"
"732","182","Tunai"
"733","182","Visa"
"734","182","Master"
"735","182","Debet"
"736","183","Tunai"
"737","183","Visa"
"738","183","Master"
"739","183","Debet"
"740","184","Tunai"
"741","184","Debet"
"742","185","Tunai"
"743","185","Debet"
"744","186","
                        Blok M - Keluar F "
"745","187","Tunai"
"746","187","Visa"
"747","187","Master"
"748","187","Debet"
"749","188","Tunai"
"750","188","Visa"
"751","188","Master"
"752","188","Debet"
"753","189","Tunai"
"754","189","Visa"
"755","189","Master"
"756","189","Debet"
"757","190","Hanya Non-Tunai: Debet"
"758","190","Go-pay"
"759","190","Ovo"
"760","190","Dana"
"761","191","Tunai"
"762","191","Visa"
"763","191","Master"
"764","191","Debet"
"765","193","Tunai"
"766","193","Visa"
"767","193","Master"
"768","193","Debet"
"769","194","Tunai"
"770","194","Visa"
"771","194","Master"
"772","194","Debet"
"773","195","Tunai"
"774","195","Visa"
"775","195","Master"
"776","195","Debet"
"777","195","Go-pay"
"778","195","Ovo"
"779","195","Dana"
"780","196","Tunai"
"781","197","Tunai"
"782","197","Debet"
"783","197","Go-pay"
"784","197","Ovo"
"785","197","Dana"
"786","198","Tunai"
"787","198","Visa"
"788","198","Master"
"789","198","Debet"
"790","198","Ovo"
"791","199","Tunai"
"792","199","Visa"
"793","199","Master"
"794","199","Debet"
"795","199","Ovo"
"796","200","Tunai"
"797","200","Visa"
"798","200","Master"
"799","200","Debet"
"800","201","Tunai"
"801","201","Visa"
"802","201","Master"
"803","201","Debet"
"804","202","Tunai"
"805","202","Debet"
"806","202","Go-pay"
"807","202","Ovo"
"808","203","Hanya Non-Tunai: Visa"
"809","203","Master"
"810","203","Debet"
"811","203","Go-pay"
"812","203","Ovo"
"813","203","Dana"
"814","205","Tunai"
"815","205","Go-pay"
"816","206","Hanya Non-Tunai: Visa"
"817","206","Master"
"818","206","Debet"
"819","206","Go-pay"
"820","206","Ovo"
"821","206","Dana"
"822","207","Tunai"
"823","208","Tunai"
"824","209","Tunai"
"825","209","Visa"
"826","209","Master"
"827","209","Debet"
"828","209","Go-pay"
"829","209","Ovo"
"830","210","Tunai"
"831","210","Visa"
"832","210","Master"
"833","210","Debet"
"834","210","Go-pay"
"835","210","Ovo"
"836","210","Dana"
"837","211","Tunai"
"838","211","Debet"
"839","211","Go-pay"
"840","211","Ovo"
"841","211","Dana"
"842","212","Tunai"
"843","212","Visa"
"844","212","Master"
"845","212","Debet"
"846","212","Go-pay"
"847","212","Ovo"
"848","213","Hanya Non-Tunai: Visa"
"849","213","Master"
"850","213","Debet"
"851","213","Go-pay"
"852","213","Ovo"
"853","213","Dana"
"854","213","QRIS"
"855","214","Tunai"
"856","215","Tunai"
"857","215","Debet"
"858","216","Tunai"
"859","216","Visa"
"860","216","Master"
"861","216","Debet"
"862","217","Tunai"
"863","217","Visa"
"864","217","Master"
"865","217","Debet"
"866","217","Go-pay"
"867","217","Ovo"
"868","217","Dana"
"869","218","Tunai"
"870","218","Debet"
"871","218","Go-pay"
"872","218","Ovo"
"873","218","Dana"
"874","219","Tunai"
"875","219","Debet"
"876","219","Go-pay"
"877","219","Ovo"
"878","219","Dana"
"879","220","Tunai"
"880","220","Visa"
"881","220","Master"
"882","220","Debet"
"883","220","Go-pay"
"884","220","Ovo"
"885","220","Dana"
"886","221","Tunai"
"887","222","Tunai"
"888","222","Visa"
"889","222","Master"
"890","222","Debet"
"891","222","Go-pay"
"892","222","Ovo"
"893","222","Dana"
"894","223","Tunai"
"895","224","Tunai"
"896","224","Debet"
"897","225","Tunai"
"898","225","Debet"
"899","227","Tunai"
"900","227","Visa"
"901","227","Master"
"902","227","Debet"
"903","227","Go-pay"
"904","227","Ovo"
"905","227","Dana"
"906","228","Tunai"
"907","228","Visa"
"908","228","Master"
"909","228","Debet"
"910","228","Go-pay"
"911","228","Ovo"
"912","229","Tunai"
"913","229","Visa"
"914","229","Master"
"915","229","Debet"
