"id","restaurant_id","facility"
"623","140","Bisa reservasi"
"624","140","Area parkir"
"625","140","Alkohol"
"626","141","Wifi"
"627","141","Area merokok"
"628","141","Area outdoor"
"629","141","100% Halal"
"630","141","Bisa reservasi"
"631","141","Area parkir"
"632","142","Wifi"
"633","142","Area merokok"
"634","142","Area outdoor"
"635","142","100% Halal"
"636","142","Ruang VIP"
"637","142","Bisa reservasi"
"638","142","Area parkir"
"639","143","Wifi"
"640","143","100% Halal"
"641","143","Bisa reservasi"
"642","143","Area parkir"
"643","144","Area merokok"
"644","144","Area outdoor"
"645","144","100% Halal"
"646","144","Bisa reservasi"
"647","144","Area parkir"
"648","144","Alkohol"
"649","145","Wifi"
"650","145","Area merokok"
"651","145","Area outdoor"
"652","145","100% Halal"
"653","145","Bisa reservasi"
"654","145","Area parkir"
"655","146","Wifi"
"656","146","100% Halal"
"657","146","Bisa reservasi"
"658","146","Area parkir"
"659","147","Wifi"
"660","147","100% Halal"
"661","147","Bisa reservasi"
"662","147","Area parkir"
"663","148","Wifi"
"664","148","Ruang VIP"
"665","148","Bisa reservasi"
"666","148","Area parkir"
"667","148","Alkohol"
"668","149","Wifi"
"669","149","100% Halal"
"670","149","Ruang VIP"
"671","149","Bisa reservasi"
"672","149","Area parkir"
"673","149","Alkohol"
"674","150","Wifi"
"675","150","Area merokok"
"676","150","Area outdoor"
"677","150","100% Halal"
"678","150","Bisa reservasi"
"679","150","Area parkir"
"680","151","Wifi"
"681","151","Area merokok"
"682","151","Area outdoor"
"683","151","100% Halal"
"684","151","Area parkir"
"685","152","Wifi"
"686","152","Area merokok"
"687","152","Area outdoor"
"688","152","100% Halal"
"689","152","Area parkir"
"690","153","Wifi"
"691","153","Area merokok"
"692","153","Area outdoor"
"693","153","100% Halal"
"694","153","Ruang VIP"
"695","153","Bisa reservasi"
"696","153","Area parkir"
"697","154","Wifi"
"698","154","Area merokok"
"699","154","Area outdoor"
"700","154","Bisa reservasi"
"701","154","Area parkir"
"702","154","Alkohol"
"703","155","Wifi"
"704","155","Area merokok"
"705","155","Area outdoor"
"706","155","100% Halal"
"707","155","Ruang VIP"
"708","155","Bisa reservasi"
"709","155","Area parkir"
"710","155","Alkohol"
"711","156","Wifi"
"712","156","Area merokok"
"713","156","Area outdoor"
"714","156","Bisa reservasi"
"715","156","Area parkir"
"716","156","Alkohol"
"717","157","Wifi"
"718","157","Area merokok"
"719","157","Area outdoor"
"720","157","100% Halal"
"721","157","Ruang VIP"
"722","157","Bisa reservasi"
"723","157","Area parkir"
"724","157","Alkohol"
"725","158","Wifi"
"726","158","Area merokok"
"727","158","Bisa reservasi"
"728","158","Area parkir"
"729","158","Alkohol"
"730","159","Wifi"
"731","159","Area merokok"
"732","159","Area outdoor"
"733","159","100% Halal"
"734","159","Bisa reservasi"
"735","159","Area parkir"
"736","160","Wifi"
"737","160","Area merokok"
"738","160","Area outdoor"
"739","160","Area parkir"
"740","160","Alkohol"
"741","161","Wifi"
"742","161","Area merokok"
"743","161","Area outdoor"
"744","161","100% Halal"
"745","161","Bisa reservasi"
"746","161","Area parkir"
"747","161","Alkohol"
"748","162","Wifi"
"749","162","Area merokok"
"750","162","Area outdoor"
"751","162","100% Halal"
"752","162","Bisa reservasi"
"753","162","Area parkir"
"754","163","Wifi"
"755","163","Area merokok"
"756","163","Area outdoor"
"757","163","100% Halal"
"758","163","Bisa reservasi"
"759","164","Wifi"
"760","164","Area merokok"
"761","164","Area outdoor"
"762","164","Bisa reservasi"
"763","164","Area parkir"
"764","164","Alkohol"
"765","165","Wifi"
"766","165","Area merokok"
"767","165","Bisa reservasi"
"768","165","Area parkir"
"769","165","Alkohol"
"770","166","Wifi"
"771","166","Area merokok"
"772","166","Area outdoor"
"773","166","24 Jam"
"774","166","100% Halal"
"775","166","Bisa reservasi"
"776","166","Area parkir"
"777","167","Wifi"
"778","167","Area merokok"
"779","167","Area outdoor"
"780","167","100% Halal"
"781","167","Bisa reservasi"
"782","167","Area parkir"
"783","168","Wifi"
"784","168","Area merokok"
"785","168","Area outdoor"
"786","168","100% Halal"
"787","168","Bisa reservasi"
"788","168","Area parkir"
"789","169","Wifi"
"790","169","Area merokok"
"791","169","Area outdoor"
"792","169","Bisa reservasi"
"793","169","Area parkir"
"794","170","Wifi"
"795","170","Pesan antar"
"796","170","Area merokok"
"797","170","Area outdoor"
"798","170","100% Halal"
"799","170","Bisa reservasi"
"800","170","Area parkir"
"801","171","Wifi"
"802","171","Area merokok"
"803","171","Area outdoor"
"804","171","100% Halal"
"805","171","Ruang VIP"
"806","171","Bisa reservasi"
"807","171","Area parkir"
"808","171","Alkohol"
"809","172","Wifi"
"810","172","Area merokok"
"811","172","Area outdoor"
"812","172","Bisa reservasi"
"813","172","Area parkir"
"814","173","Wifi"
"815","173","Area merokok"
"816","173","Area outdoor"
"817","173","100% Halal"
"818","173","Area parkir"
"819","174","Wifi"
"820","174","Area merokok"
"821","174","Area outdoor"
"822","174","100% Halal"
"823","174","Ruang VIP"
"824","174","Bisa reservasi"
"825","174","Area parkir"
"826","175","Wifi"
"827","175","Area merokok"
"828","175","Area outdoor"
"829","175","100% Halal"
"830","175","Bisa reservasi"
"831","175","Area parkir"
"832","176","Wifi"
"833","176","Area merokok"
"834","176","Area outdoor"
"835","176","Ruang VIP"
"836","176","Bisa reservasi"
"837","176","Area parkir"
"838","176","Alkohol"
"839","177","Wifi"
"840","177","Area merokok"
"841","177","Area outdoor"
"842","177","Ruang VIP"
"843","177","Bisa reservasi"
"844","177","Area parkir"
"845","177","Alkohol"
"846","178","Wifi"
"847","178","Area merokok"
"848","178","Area outdoor"
"849","178","100% Halal"
"850","178","Bisa reservasi"
"851","178","Area parkir"
"852","178","Alkohol"
"853","179","Wifi"
"854","179","Area merokok"
"855","179","Area outdoor"
"856","179","100% Halal"
"857","179","Bisa reservasi"
"858","179","Area parkir"
"859","180","Wifi"
"860","180","Area merokok"
"861","180","Area outdoor"
"862","180","100% Halal"
"863","180","Bisa reservasi"
"864","180","Area parkir"
"865","181","Wifi"
"866","181","Area merokok"
"867","181","Area outdoor"
"868","181","100% Halal"
"869","181","Bisa reservasi"
"870","181","Area parkir"
"871","181","Alkohol"
"872","182","Area merokok"
"873","182","100% Halal"
"874","182","Bisa reservasi"
"875","182","Area parkir"
"876","182","Alkohol"
"877","183","Wifi"
"878","183","Pesan antar"
"879","183","Area merokok"
"880","183","100% Halal"
"881","183","Ruang VIP"
"882","183","Bisa reservasi"
"883","183","Area parkir"
"884","184","Wifi"
"885","184","Area merokok"
"886","184","Area outdoor"
"887","184","100% Halal"
"888","184","Bisa reservasi"
"889","185","Area merokok"
"890","185","Area outdoor"
"891","185","Area parkir"
"892","186","Wifi"
"893","186","100% Halal"
"894","186","Area parkir"
"895","187","Area merokok"
"896","187","Area outdoor"
"897","187","100% Halal"
"898","187","Area parkir"
"899","188","Wifi"
"900","188","Area merokok"
"901","188","Area outdoor"
"902","188","Area parkir"
"903","189","Wifi"
"904","189","Area merokok"
"905","189","Area outdoor"
"906","189","100% Halal"
"907","189","Ruang VIP"
"908","189","Bisa reservasi"
"909","189","Area parkir"
"910","190","Area merokok"
"911","190","24 Jam"
"912","190","100% Halal"
"913","190","Area parkir"
"914","191","Wifi"
"915","191","Area merokok"
"916","191","Area outdoor"
"917","191","Ruang VIP"
"918","191","Bisa reservasi"
"919","191","Area parkir"
"920","191","Alkohol"
"921","192","Wifi"
